musemart/drawings/download (14).jpeg	drawings	['Drawing', 'Sketch', 'Figure drawing', 'Portrait', 'Artwork', 'Self-portrait', 'Art', 'Sitting']
musemart/drawings/download (10).jpeg	drawings	['Portrait', 'Self-portrait', 'Drawing', 'Sketch', 'Art', 'Facial hair', 'Figure drawing', 'Jaw', 'Beard', 'Artwork']
musemart/drawings/167176.jpg	drawings	['Watercolor paint', 'Snow', 'Architecture', 'Winter', 'Illustration', 'Landscape', 'Art', 'Bridge']
musemart/drawings/images (37).jpeg	drawings	['Drawing', 'Sketch', 'Art', 'Figure drawing', 'Sitting', 'Portrait', 'Artwork', 'Visual arts', 'Ancient dog breeds']
musemart/drawings/images (46).jpeg	drawings	['Drawing', 'Sketch', 'Figure drawing', 'Artwork', 'Art', 'Self-portrait', 'Portrait', 'Illustration', 'Jaw', 'Black-and-white']
musemart/drawings/images (41).jpeg	drawings	['Sketch', 'Drawing', 'Figure drawing', 'Art', 'Artwork', 'Illustration', 'Line art', 'Still life', 'Black-and-white', 'Painting']
musemart/drawings/images (19).jpeg	drawings	['Tree', 'Drawing', 'Sketch', 'Plant', 'Art', 'Landscape', 'Artwork', 'Painting', 'Visual arts', 'Monochrome']
musemart/drawings/download (22).jpeg	drawings	['Snow', 'Winter', 'Architecture', 'Watercolor paint', 'Winter storm', 'Illustration', 'Sketch']
musemart/drawings/3456_mainfoto_05.jpg	drawings	['Hair', 'Lady', 'Hairstyle', 'Illustration', 'Hand fan', 'Portrait', 'Art', 'Fontange', 'Shimada', 'Victorian fashion']
musemart/drawings/images (39).jpeg	drawings	['Drawing', 'Sketch', 'Art', 'Illustration', 'Printmaking', 'Figure drawing', 'Jaw', 'Black-and-white', 'Artwork']
musemart/drawings/download (27).jpeg	drawings	['Waterway', 'Canal', 'Water', 'Architecture', 'Paper product', 'History', 'River']
musemart/drawings/images (73).jpeg	drawings	['Column', 'Architecture', 'Building', 'Roman temple', 'Ancient roman architecture', 'Classical architecture', 'Monument']
musemart/drawings/images (94).jpeg	drawings	['Sketch', 'Architecture', 'Illustration', 'Art', 'Paper product', 'Drawing']
musemart/drawings/images (13).jpeg	drawings	['Portrait', 'Chin', 'Drawing', 'Forehead', 'Head', 'Sketch', 'Art', 'Jaw', 'Sculpture', 'Stock photography']
